"Nazwa";"Marka";"Kategorie (x,y,z...)";"Cena zawiera podatek. (brutto)";"Podsumowanie";"Opis";"Adresy URL zdjęcia (x,y,z...)";"Ilość"
"Rival 650";"SteelSeries";"Myszki bezprzewodowe";339;"Typ myszy: Dla graczy<br/>Sensor: Optyczny<br/>Liczba przycisków: 7<br/>Rozdzielczość: 12000 dpi<br/>Interfejs: USB<br/>Czas pracy na baterii: Do 24 godzin<br/>Profil: Praworęczny";"Typ myszy: Dla graczy<br/>Sensor: Optyczny<br/>Liczba przycisków: 7<br/>Rozdzielczość: 12000 dpi<br/>Interfejs: USB<br/>Czas pracy na baterii: Do 24 godzin<br/>Profil: Praworęczny";"http://127.0.0.1/product_images/pr_2020_4_27_12_44_33_490_00.jpg";100
"G305 LIGHTSPEED czarna";"Logitech";"Myszki bezprzewodowe";229;"Typ myszy: Dla graczy<br/>Sensor: Optyczny<br/>Liczba przycisków: 6<br/>Rozdzielczość: 12000 dpi<br/>Interfejs: 2,4 GHz<br/>Czas pracy na baterii: Do 9 miesięcy<br/>Profil: Uniwersalny";"Typ myszy: Dla graczy<br/>Sensor: Optyczny<br/>Liczba przycisków: 6<br/>Rozdzielczość: 12000 dpi<br/>Interfejs: 2,4 GHz<br/>Czas pracy na baterii: Do 9 miesięcy<br/>Profil: Uniwersalny";"http://127.0.0.1/product_images/pr_2020_4_22_8_26_36_691_00.jpg";100
"Basilisk X Hyperspeed";"Razer";"Myszki bezprzewodowe";199;"Typ myszy: Dla graczy, Multimedialna<br/>Sensor: Optyczny<br/>Liczba przycisków: 6<br/>Rozdzielczość: 16000 dpi<br/>Interfejs: 2,4 GHz, Bluetooth<br/>Czas pracy na baterii: Do 285 godzin - tryb HyperSpeed, Do 450 godzin - tryb bluetooth<br/>Profil: Praworęczny";"Typ myszy: Dla graczy, Multimedialna<br/>Sensor: Optyczny<br/>Liczba przycisków: 6<br/>Rozdzielczość: 16000 dpi<br/>Interfejs: 2,4 GHz, Bluetooth<br/>Czas pracy na baterii: Do 285 godzin - tryb HyperSpeed, Do 450 godzin - tryb bluetooth<br/>Profil: Praworęczny";"http://127.0.0.1/product_images/pr_2020_4_8_7_44_11_203_00.jpg";100
"G PRO X SUPERLIGHT Czarny ";"Logitech";"Myszki bezprzewodowe";599;"Typ myszy: Dla graczy<br/>Sensor: Optyczny<br/>Liczba przycisków: 5<br/>Rozdzielczość: 24500 dpi<br/>Interfejs: 2,4 GHz, USB<br/>Czas pracy na baterii: Do 70 godzin<br/>Profil: Praworęczny";"Typ myszy: Dla graczy<br/>Sensor: Optyczny<br/>Liczba przycisków: 5<br/>Rozdzielczość: 24500 dpi<br/>Interfejs: 2,4 GHz, USB<br/>Czas pracy na baterii: Do 70 godzin<br/>Profil: Praworęczny";"http://127.0.0.1/product_images/pr_2020_12_16_15_7_53_691_00.jpg";100
"LIX Wireless";"SPC Gear";"Myszki bezprzewodowe";229;"Typ myszy: Dla graczy, Mobilna<br/>Sensor: Optyczny<br/>Liczba przycisków: 6<br/>Rozdzielczość: 16000 dpi<br/>Interfejs: 2,4 GHz<br/>Profil: Praworęczny";"Typ myszy: Dla graczy, Mobilna<br/>Sensor: Optyczny<br/>Liczba przycisków: 6<br/>Rozdzielczość: 16000 dpi<br/>Interfejs: 2,4 GHz<br/>Profil: Praworęczny";"http://127.0.0.1/product_images/pr_2022_5_17_14_47_43_92_00.jpg";100
"G502 X PLUS czarna";"Logitech";"Myszki bezprzewodowe";698.99;"Typ myszy: Dla graczy<br/>Sensor: Optyczny<br/>Liczba przycisków: 13<br/>Rozdzielczość: 25600 dpi<br/>Interfejs: 2,4 GHz<br/>Czas pracy na baterii: Do 120 godzin<br/>Profil: Praworęczny";"Typ myszy: Dla graczy<br/>Sensor: Optyczny<br/>Liczba przycisków: 13<br/>Rozdzielczość: 25600 dpi<br/>Interfejs: 2,4 GHz<br/>Czas pracy na baterii: Do 120 godzin<br/>Profil: Praworęczny";"http://127.0.0.1/product_images/pr_2022_8_31_7_49_9_876_00.jpg";100
"Rascal RGB Bezprzewodowa Myszka ";"Silver Monkey X";"Myszki bezprzewodowe";159;"Typ myszy: Dla graczy<br/>Sensor: Optyczny<br/>Liczba przycisków: 6<br/>Rozdzielczość: 10000 dpi<br/>Interfejs: 2,4 GHz, USB-C<br/>Długość przewodu: 1,5 m<br/>Profil: Praworęczny";"Typ myszy: Dla graczy<br/>Sensor: Optyczny<br/>Liczba przycisków: 6<br/>Rozdzielczość: 10000 dpi<br/>Interfejs: 2,4 GHz, USB-C<br/>Długość przewodu: 1,5 m<br/>Profil: Praworęczny";"http://127.0.0.1/product_images/pr_2022_5_13_12_4_7_538_00.jpg";100
"Aerox 9 Wireless";"SteelSeries";"Myszki bezprzewodowe";589;"Typ myszy: Dla graczy<br/>Sensor: Optyczny<br/>Liczba przycisków: 18<br/>Rozdzielczość: 18000 dpi<br/>Interfejs: 2,4 GHz, Bluetooth<br/>Czas pracy na baterii: Do 180 godzin<br/>Profil: Praworęczny";"Typ myszy: Dla graczy<br/>Sensor: Optyczny<br/>Liczba przycisków: 18<br/>Rozdzielczość: 18000 dpi<br/>Interfejs: 2,4 GHz, Bluetooth<br/>Czas pracy na baterii: Do 180 godzin<br/>Profil: Praworęczny";"http://127.0.0.1/product_images/pr_2022_4_12_14_46_51_536_00.jpg";100
"Griffin RGB Wireless";"Redragon";"Myszki bezprzewodowe";104.99;"Typ myszy: Dla graczy<br/>Sensor: Optyczny<br/>Liczba przycisków: 7<br/>Rozdzielczość: 8000 dpi<br/>Interfejs: 2,4 GHz, USB-C<br/>Profil: Praworęczny";"Typ myszy: Dla graczy<br/>Sensor: Optyczny<br/>Liczba przycisków: 7<br/>Rozdzielczość: 8000 dpi<br/>Interfejs: 2,4 GHz, USB-C<br/>Profil: Praworęczny";"http://127.0.0.1/product_images/pr_2021_11_5_16_11_53_487_00.jpg";100
"DeathAdder V3 Pro White";"Razer";"Myszki bezprzewodowe";679;"Typ myszy: Dla graczy<br/>Sensor: Optyczny<br/>Liczba przycisków: 5<br/>Rozdzielczość: 30000 dpi<br/>Interfejs: 2,4 GHz, USB<br/>Czas pracy na baterii: Do 90 godzin<br/>Profil: Praworęczny";"Typ myszy: Dla graczy<br/>Sensor: Optyczny<br/>Liczba przycisków: 5<br/>Rozdzielczość: 30000 dpi<br/>Interfejs: 2,4 GHz, USB<br/>Czas pracy na baterii: Do 90 godzin<br/>Profil: Praworęczny";"http://127.0.0.1/product_images/pr_2022_8_30_14_22_51_395_06.jpg";100
