"Nazwa";"Marka";"Kategorie (x,y,z...)";"Cena zawiera podatek. (brutto)";"Podsumowanie";"Opis";"Adresy URL zdjęcia (x,y,z...)";"Ilość"
"Radeon RX 6700 XT MECH 2X 12GB GDDR6";"MSI";"Karty graficzne AMD";2099;"Układ: Radeon™ RX 6700 XT<br/>Pamięć: 12 GB<br/>Rodzaj pamięci: GDDR6<br/>Złącza: HDMI - 1 szt., DisplayPort - 3 szt.<br/>Taktowanie pamięci: 16000 MHz";"Układ: Radeon™ RX 6700 XT<br/>Pamięć: 12 GB<br/>Rodzaj pamięci: GDDR6<br/>Złącza: HDMI - 1 szt., DisplayPort - 3 szt.<br/>Taktowanie pamięci: 16000 MHz";"http://127.0.0.1/product_images/pr_2021_3_17_16_5_3_412_00.jpg";100
"GeForce RTX 3060 EAGLE OC LHR 12GB GDDR6";"Gigabyte";"Karty graficzne NVIDIA";1899;"Układ: GeForce RTX 3060<br/>Pamięć: 12 GB<br/>Rodzaj pamięci: GDDR6<br/>Złącza: HDMI - 2 szt., DisplayPort - 2 szt.<br/>Taktowanie pamięci: 15000 MHz<br/>Taktowanie rdzenia: 1807 MHz";"Układ: GeForce RTX 3060<br/>Pamięć: 12 GB<br/>Rodzaj pamięci: GDDR6<br/>Złącza: HDMI - 2 szt., DisplayPort - 2 szt.<br/>Taktowanie pamięci: 15000 MHz<br/>Taktowanie rdzenia: 1807 MHz";"http://127.0.0.1/product_images/pr_2021_6_15_13_30_27_153_06.jpg";100
"GeForce RTX 3060 Ti Twin X2 LHR 8GB GDDR6";"Inno3D";"Karty graficzne NVIDIA";2299;"Układ: GeForce RTX 3060 Ti<br/>Pamięć: 8 GB<br/>Rodzaj pamięci: GDDR6<br/>Złącza: HDMI 2.1 - 1 szt., DisplayPort 1.4a - 3 szt.<br/>Taktowanie pamięci: 14000 MHz<br/>Taktowanie rdzenia: 1410 MHz";"Układ: GeForce RTX 3060 Ti<br/>Pamięć: 8 GB<br/>Rodzaj pamięci: GDDR6<br/>Złącza: HDMI 2.1 - 1 szt., DisplayPort 1.4a - 3 szt.<br/>Taktowanie pamięci: 14000 MHz<br/>Taktowanie rdzenia: 1410 MHz";"http://127.0.0.1/product_images/pr_2021_8_31_12_0_38_376_00.jpg";100
"GeForce RTX 3060 Twin X2 LHR 12GB GDDR6";"Inno3D";"Karty graficzne NVIDIA";1899;"Układ: GeForce RTX 3060<br/>Pamięć: 12 GB<br/>Rodzaj pamięci: GDDR6<br/>Złącza: HDMI - 1 szt., DisplayPort - 3 szt.<br/>Taktowanie rdzenia: 1320 MHz ";"Układ: GeForce RTX 3060<br/>Pamięć: 12 GB<br/>Rodzaj pamięci: GDDR6<br/>Złącza: HDMI - 1 szt., DisplayPort - 3 szt.<br/>Taktowanie rdzenia: 1320 MHz ";"http://127.0.0.1/product_images/pr_2021_8_11_12_6_20_748_01.jpg";100
"GeForce RTX 3060 Ti VENTUS 2X V1 OC LHR 8GB GDDR6";"MSI";"Karty graficzne NVIDIA";2399;"Układ: GeForce RTX 3060 Ti<br/>Pamięć: 8 GB<br/>Rodzaj pamięci: GDDR6<br/>Złącza: HDMI - 1 szt., DisplayPort - 3 szt.<br/>Taktowanie pamięci: 14000 MHz<br/>Taktowanie rdzenia: 1695 MHz";"Układ: GeForce RTX 3060 Ti<br/>Pamięć: 8 GB<br/>Rodzaj pamięci: GDDR6<br/>Złącza: HDMI - 1 szt., DisplayPort - 3 szt.<br/>Taktowanie pamięci: 14000 MHz<br/>Taktowanie rdzenia: 1695 MHz";"http://127.0.0.1/product_images/pr_2021_8_18_13_50_10_938_04.jpg";100
"GeForce RTX 3060 Ghost 12GB GDDR6";"Gainward";"Karty graficzne NVIDIA";1799;"Układ: GeForce RTX 3060<br/>Pamięć: 12 GB<br/>Rodzaj pamięci: GDDR6<br/>Złącza: HDMI - 1 szt., DisplayPort - 3 szt.<br/>Taktowanie pamięci: 15000 MHz<br/>Taktowanie rdzenia: 1777 MHz";"Układ: GeForce RTX 3060<br/>Pamięć: 12 GB<br/>Rodzaj pamięci: GDDR6<br/>Złącza: HDMI - 1 szt., DisplayPort - 3 szt.<br/>Taktowanie pamięci: 15000 MHz<br/>Taktowanie rdzenia: 1777 MHz";"http://127.0.0.1/product_images/pr_2021_2_23_14_0_42_139_01.jpg";100
"GeForce RTX 3060 GAMING X 12GB GDDR6";"MSI";"Karty graficzne NVIDIA";2149;"Układ: GeForce RTX 3060<br/>Pamięć: 12 GB<br/>Rodzaj pamięci: GDDR6<br/>Złącza: HDMI - 1 szt., DisplayPort - 3 szt.<br/>Taktowanie pamięci: 15000 MHz<br/>Taktowanie rdzenia: 1837 MHz";"Układ: GeForce RTX 3060<br/>Pamięć: 12 GB<br/>Rodzaj pamięci: GDDR6<br/>Złącza: HDMI - 1 szt., DisplayPort - 3 szt.<br/>Taktowanie pamięci: 15000 MHz<br/>Taktowanie rdzenia: 1837 MHz";"http://127.0.0.1/product_images/pr_2021_2_12_15_14_30_997_04.jpg";100
"GeForce RTX 3060 Ti DUAL OC V2 LHR 8GB GDDR6";"ASUS";"Karty graficzne NVIDIA";2599;"Układ: GeForce RTX 3060 Ti<br/>Pamięć: 8 GB<br/>Rodzaj pamięci: GDDR6<br/>Złącza: HDMI - 2 szt., DisplayPort - 3 szt.<br/>Taktowanie pamięci: 14000 MHz<br/>Taktowanie rdzenia: 1740 MHz";"Układ: GeForce RTX 3060 Ti<br/>Pamięć: 8 GB<br/>Rodzaj pamięci: GDDR6<br/>Złącza: HDMI - 2 szt., DisplayPort - 3 szt.<br/>Taktowanie pamięci: 14000 MHz<br/>Taktowanie rdzenia: 1740 MHz";"http://127.0.0.1/product_images/pr_2021_8_11_15_23_10_722_02.jpg";100
"GeForce RTX 3070 Gaming Twin Edge LHR 8GB GDDR6";"Zotac";"Karty graficzne NVIDIA";3099;"Układ: GeForce RTX 3070<br/>Pamięć: 8 GB<br/>Rodzaj pamięci: GDDR6<br/>Złącza: HDMI - 1 szt., DisplayPort - 3 szt.<br/>Taktowanie pamięci: 14000 MHz<br/>Taktowanie rdzenia: 1725 MHz";"Układ: GeForce RTX 3070<br/>Pamięć: 8 GB<br/>Rodzaj pamięci: GDDR6<br/>Złącza: HDMI - 1 szt., DisplayPort - 3 szt.<br/>Taktowanie pamięci: 14000 MHz<br/>Taktowanie rdzenia: 1725 MHz";"http://127.0.0.1/product_images/pr_2021_6_25_14_52_5_750_05.jpg";100
"GeForce RTX 3060 VENTUS 2X OC 8GB GDDR6";"MSI";"Karty graficzne NVIDIA";1899;"Układ: GeForce RTX 3060<br/>Pamięć: 8 GB<br/>Rodzaj pamięci: GDDR6<br/>Złącza: HDMI 2.1 - 1 szt., DisplayPort 1.4a - 3 szt.<br/>Taktowanie pamięci: 15000 MHz";"Układ: GeForce RTX 3060<br/>Pamięć: 8 GB<br/>Rodzaj pamięci: GDDR6<br/>Złącza: HDMI 2.1 - 1 szt., DisplayPort 1.4a - 3 szt.<br/>Taktowanie pamięci: 15000 MHz";"http://127.0.0.1/product_images/pr_2022_11_9_12_42_42_563_01.jpg";100
